,team,color,alt_color,color_name,alt_color_name,latitude,longitude,elevation,capacity,year_constructed,grass,dome
108,Tulsa,#004371,#ee3b33,Yellow,Blue,36.1489175,-95.9437853,235.5928345,30000,1930,False,False
109,UAB,#003b28,#ffc845,Green,Yellow,33.511389,-86.842778,174.6382141,72000,1927,False,False
110,UCF,#000000,#231f20,Black,Yellow,28.6079765,-81.1927233,20.94113731,44206,2007,False,False
111,UCLA,#005C8E,#ffc72c,Blue,Yellow,34.1613284,-118.1676462,245.1772461,88565,1922,False,False
112,UMass,#880007,,Red,White,42.3773244,-72.5360595,46.58664703,17000,1965,False,False
113,UNLV,#000000,#c2c4c6,Red,Gray,36.085935,-115.01731,490.0622253,36800,1971,False,False
114,USC,#ffc72c,#ae2531,Red,Yellow,34.014167,-118.287778,42.50374222,77500,1923,True,False
115,Utah,#890012,#7e8083,Red,White,40.7599724,-111.8488255,1411.543579,45807,1998,False,False
116,Utah State,#003263,#949ca1,Blue,Black,41.7517394,-111.8116007,1427.914429,25513,1968,False,False
117,UTEP,#ff8200,#041e42,Blue,Orange,31.7733353,-106.507957,1183.697876,51500,1963,False,False
118,UT San Antonio,#002A5C,#f47321,Blue,Orange,29.4169834,-98.4788143,201.5526886,36582,1993,False,True
119,Vanderbilt,#000000,#231f20,Yellow,Black,36.1440455,-86.8088942,159.9194641,40351,1922,False,False
120,Virginia,#f84c1e,#ffffff,Blue,Orange,38.0311801,-78.5137897,170.4677429,61500,1931,False,False
121,Virginia Tech,#74232D,#c2c1ba,Red,Orange,37.2199873,-80.4180643,632.2631226,65632,1965,False,False
122,Wake Forest,#9E7E38,#000000,Yellow,Black,36.1305507,-80.2545851,283.548584,31500,1968,False,False
123,Washington,#2B2F64,#e8e3d3,Purple,White,47.6503235,-122.3015746,11.65622807,70138,1920,False,False
124,Washington State,#94022a,#6a747c,Red,Gray,46.731831,-117.1604991,773.9526367,32952,1972,False,False
125,Western Kentucky,#F32026,#b3b5b8,Red,White,36.9847901,-86.4594041,154.4346619,22113,1968,False,False
126,Western Michigan,#532e1f,#8b7f79,Brown,Yellow,42.2860064,-85.6007573,243.8211212,30200,1939,False,False
127,West Virginia,#FFC600,#eaaa00,Blue,Yellow,39.6502744,-79.9551873,327.409668,60000,1980,False,False
128,Wisconsin,#A00001,#f7f7f7,Red,Black,43.06994,-89.4126943,263.604126,80321,1917,False,False
129,Wyoming,#533B22,#ffffff,Brown,Yellow,41.31161,-105.5681384,2200.153564,29181,1950,False,False
